Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,
S1A_IW_SLC__1SDV_20170324T224520_20170324T224547_015840_01A18C_1CC3,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",15840,18,559,2017-03-24T22:45:47.000000,2017-03-24T22:45:20.000000,SLC,2017-03-24T22:45:20.000000,2017-03-24T22:45:47.000000,9.9998,105.683,10.588958,106.973404,11.034116,104.719078,8.959736,106.638878,9.409188,104.396126,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170324T224520_20170324T224547_015840_01A18C_1CC3.zip,4313.640409,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170405T224521_20170405T224548_016015_01A6C1_9552,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16015,18,559,2017-04-05T22:45:48.000000,2017-04-05T22:45:21.000000,SLC,2017-04-05T22:45:21.000000,2017-04-05T22:45:48.000000,10.0001,105.6826,10.589254,106.973022,11.034424,104.718697,8.960154,106.638519,9.409618,104.395767,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170405T224521_20170405T224548_016015_01A6C1_9552.zip,4342.676389,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170417T224521_20170417T224548_016190_01AC20_E179,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16190,18,559,2017-04-17T22:45:48.000000,2017-04-17T22:45:21.000000,SLC,2017-04-17T22:45:21.000000,2017-04-17T22:45:48.000000,10.0003,105.683,10.589213,106.973465,11.034453,104.718948,8.960502,106.639023,9.410036,104.39608,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170417T224521_20170417T224548_016190_01AC20_E179.zip,4273.324804,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170429T224522_20170429T224549_016365_01B170_84D7,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16365,18,559,2017-04-29T22:45:49.000000,2017-04-29T22:45:22.000000,SLC,2017-04-29T22:45:22.000000,2017-04-29T22:45:49.000000,10.0009,105.6833,10.590105,106.973854,11.035296,104.71936,8.960764,106.639305,9.410253,104.396393,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170429T224522_20170429T224549_016365_01B170_84D7.zip,4316.793907,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170511T224522_20170511T224549_016540_01B6B8_89E3,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16540,18,559,2017-05-11T22:45:49.000000,2017-05-11T22:45:22.000000,SLC,2017-05-11T22:45:22.000000,2017-05-11T22:45:49.000000,10.0005,105.6828,10.589628,106.973351,11.034825,104.71875,8.960542,106.63887,9.410035,104.395851,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170511T224522_20170511T224549_016540_01B6B8_89E3.zip,4331.288226,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170523T224523_20170523T224550_016715_01BC23_3F28,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16715,18,559,2017-05-23T22:45:50.000000,2017-05-23T22:45:23.000000,SLC,2017-05-23T22:45:23.000000,2017-05-23T22:45:50.000000,10.0005,105.6831,10.590086,106.973717,11.035237,104.719238,8.959994,106.639038,9.409445,104.396149,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170523T224523_20170523T224550_016715_01BC23_3F28.zip,4329.685535,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170604T224524_20170604T224551_016890_01C18F_4F86,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16890,18,559,2017-06-04T22:45:51.000000,2017-06-04T22:45:24.000000,SLC,2017-06-04T22:45:24.000000,2017-06-04T22:45:51.000000,10.0003,105.6831,10.589668,106.973671,11.034884,104.719101,8.960086,106.639061,9.409599,104.39608,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170604T224524_20170604T224551_016890_01C18F_4F86.zip,4327.757899,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170616T224524_20170616T224551_017065_01C6F4_6EB1,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17065,18,559,2017-06-16T22:45:51.000000,2017-06-16T22:45:24.000000,SLC,2017-06-16T22:45:24.000000,2017-06-16T22:45:51.000000,10.0009,105.6834,10.590305,106.97403,11.035522,104.719528,8.96047,106.639366,9.409985,104.396446,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170616T224524_20170616T224551_017065_01C6F4_6EB1.zip,4335.828842,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170628T224525_20170628T224552_017240_01CC40_DB65,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17240,18,559,2017-06-28T22:45:52.000000,2017-06-28T22:45:25.000000,SLC,2017-06-28T22:45:25.000000,2017-06-28T22:45:52.000000,10.0008,105.6835,10.589903,106.974037,11.035113,104.719505,8.96069,106.639511,9.410198,104.396553,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170628T224525_20170628T224552_017240_01CC40_DB65.zip,4316.381207,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170710T224526_20170710T224553_017415_01D18A_C46C,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17415,18,559,2017-07-10T22:45:53.000000,2017-07-10T22:45:26.000000,SLC,2017-07-10T22:45:26.000000,2017-07-10T22:45:53.000000,10.0004,105.6834,10.590086,106.973999,11.035254,104.71949,8.959748,106.639267,9.409215,104.396347,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170710T224526_20170710T224553_017415_01D18A_C46C.zip,4341.814446,NA,NA,NA,0,
